,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,cname
42,0.77499998,CRI,LatAm,9485.71,,3.5,4.666448593139648,6.9272398948669425,78.12113952636719,Costa Rica
72,0.49000001,HTI,LatAm,1024.9399,,9.300000190734863,2.325876951217651,,,Haiti
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,5.599999904632568,,4.1469597816467285,,Maldives
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,5.5,4.323356151580811,3.6064400672912598,74.57037353515625,Seychelles
134,0.69199997,PRY,LatAm,4812.9199,6.559000015258789,5.199999809265137,2.3244397640228267,4.955399990081787,66.45951843261719,Paraguay
29,0.514,CMR,SubSaharian,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125,Cameroon
17,0.6709999999999999,BOL,LatAm,4023.8701,10.07800006866455,6.4000000953674325,3.348756313323975,7.285459995269775,76.53546142578125,Bolivia
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,,,,Kiribati
37,,TWN,EastAsia,33965.871,23.43400001525879,,3.908831357955933,,,Taiwan
56,0.86299998,EST,EastEurope,19768.039,1.315999984741211,3.5,4.364778518676759,5.481639862060547,94.39128112792969,Estonia
135,0.73699999,PER,LatAm,9227.1504,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969,Peru
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,5.699999809265138,2.659119129180908,,48.25643920898438,Myanmar
59,0.89399999,FRA,WesternDem,34007.898,64.02799987792969,2.200000047683716,4.381113052368163,5.492990016937256,99.44432830810548,France (1963-)
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,3.5999999046325684,3.581974983215332,2.7874999046325684,95.94628143310548,Kazakhstan
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,,4.901659965515137,77.71405792236328,St Lucia
13,0.741,ARM,EastEurope,6451.9399,2.9800000190734863,6.0,3.4553134441375732,2.246599912643433,,Armenia
155,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,,Singapore
167,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328,Sweden
126,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,7.0999999046325675,2.85273027420044,,,Nigeria
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,8.100000381469728,2.655974626541138,,,Nicaragua
149,0.565,STP,SubSaharian,2150.55,,7.9000000953674325,,3.7568199634552,64.42681121826172,Sao Tome and Principe
160,0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,,South Africa
7,0.82599998,ARG,LatAm,15102.61,41.73300170898438,3.0,2.983357429504395,5.3254899978637695,88.24600219726562,Argentina
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,4.0838799476623535,84.60346984863281,Luxembourg
148,,SMR,WesternDem,42664.210999999996,0.034000001847743995,,,2.3837299346923833,,San Marino
169,0.55299997,SYR,NorthAfrica,4284.4199,,7.4000000953674325,3.24616551399231,,46.6161994934082,Syria
93,0.58200002,LAO,SouthEastAsia,2926.77,6.8979997634887695,7.4000000953674325,3.834710359573364,3.320110082626343,50.828941345214844,Laos
121,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,2.5999999046325684,5.304530620574951,5.529379844665527,93.88201904296876,Netherlands
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795,Ireland
18,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.5,2.355769157409668,,,Bosnia and Herzegovina
27,0.79799998,BLR,EastEurope,17780.641,9.468000411987305,3.4000000953674316,,4.990439891815186,99.46544647216795,Belarus
187,0.39899999,BFA,SubSaharian,1095.96,16.5,6.9000000953674325,2.868712186813355,4.60476016998291,26.4928092956543,Burkina Faso
123,0.91299999,NZL,WesternDem,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531,New Zealand
81,0.898,ISR,NorthAfrica,25926.25,8.211999893188478,,3.719112396240234,5.757269859313965,98.39215850830078,Israel
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,3.0999999046325684,2.909875631332398,4.599870204925537,,Mongolia
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,1.8999999761581419,5.328890800476074,6.5851402282714835,95.2855987548828,Belgium
84,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,7.800000190734862,3.711759328842163,6.024670124053955,73.51493835449219,Jamaica
118,0.63700002,NAM,SubSaharian,4521.29,,6.5,3.05289626121521,,,Namibia
179,,TUV,Pacific,3174.05,0.0109999999403954,,,,69.80497741699219,Tuvalu
71,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,9.100000381469727,3.933674573898315,3.19215989112854,82.4810562133789,Guyana
89,,PRK,EastAsia,1727.8199,,4.199999809265137,,,76.20372772216797,"Korea, North"
185,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,7.0,3.0042104721069336,3.479140043258667,,Tanzania
151,0.491,SEN,SubSaharian,1527.99,,7.4000000953674325,3.760167360305786,7.396200180053711,,Senegal
92,0.662,KGZ,EastEurope,3010.24,5.894999980926514,6.4000000953674325,2.8536891937255864,5.527379989624023,80.17756652832031,Kyrgyzstan
20,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164,Brazil
30,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,2.200000047683716,5.245896816253662,5.281219959259033,,Canada
